RUNNER WEIGHT,MODEL,CUSOMER,MOULD NAME,RM NAME,RAW MATERIAL GRADE,P.WEIGHT,SHORT WEIGHT,CYCLE TIME,UPH,NO OF CAVITY
0.0032,BN7I,TOPRUN,"ROD BEZEL, LHD RH_84764-AY000-UMG",PA6,KN333H15BL UMG,0.0028,0.0088,36,100,2
0.0032,BN7I,TOPRUN,"ROD BEZEL, RHD LH_84763-AY900",PA6,KN333H15BL NNB,0.0028,0.0088,36,100,2
0.0032,BN7I,TOPRUN,"ROD BEZEL, RHD LH_84763-AY900_UMG",PA6,KN333H15BL UMG,0.0028,0.0088,36,100,2
0.0032,BN7I,TOPRUN,"ROD BEZEL, RHD RH_84764-AY900",PA6,KN333H15BL NNB,0.0028,0.0088,36,100,2
0.0102,BN7I,TOPRUN,"ROD-GI/BOX,LHD LH_84511-AY830",PA6,KN133G30BL NNB,0.0206,0.0514,36,100,2
0.0102,BN7I,TOPRUN,"ROD-GI/BOX,RHD LH_84511-AY930",PA6,KN133G30BL NNB,0.0206,0.0514,36,100,2
0.0102,BN7I,TOPRUN,"ROD-GI/BOX, RHD RH_84511-AY920",PA6,KN133G30BL NNB,0.0245,0.0592,36,100,2
0.0102,BN7I,TOPRUN,"ROD-GL/BOX,LHD RH_84511-AY820",PA6,KN133G30BL NNB,0.0245,0.0592,36,100,2
0.023,PS7I FL,TOPRUN,COVER ASSY-2ND SEAT MTG FR NNB,PP,HP310 NNB,0.054,0.131,36,100,2
0.023,PS7I FL,TOPRUN,COVER ASSY-2ND SEAT MTG FR YGN,PP,HP310 YGN,0.054,0.131,36,100,2
0.023,PS7I FL,TOPRUN,COVER ASSY-2ND SEAT MTG FR WDN,PP,HP310 WDN,0.054,0.131,36,100,2
0.0025,AI3 PE,TOPRUN,PNL Crash pad LHD NNB,PP,HT148AI3-G NNB,0.0402,0.0829,40,90,2
0.0025,AI3 PE,TOPRUN,PNL Crash pad LHD T9Y,PP,HT148AI3-G T9Y,0.0402,0.0829,40,90,2
0.0025,AI3 PE,TOPRUN,PNL Crash pad RHD NNB,PP,HT148AI3-G NNB,0.041,0.0845,40,90,2
0.0025,AI3 PE,TOPRUN,PNL Crash pad RHD T9Y,PP,HT148AI3-G T9Y,0.041,0.0845,40,90,2
0.0025,AI3 PE,TOPRUN,PNL Crash pad RHD NBY,PP,HT148AI3-G NBY,0.041,0.0845,40,90,2
0.0032,AI3,TOPRUN,AI3_84514-K6000_ROD-GLOVE BOX (LHD) RH_NNB,PC+ABS,NS5000C,0.018,0.0212,36,100,1
0.0064,AI3,TOPRUN,AI3_84515-K6900_ROD GLOVE BOX (RHD) RH,PC+ABS,NS5000C,0.018,0.0424,36,100,2
